School name,ASP,AA,School Type,Regional council,Territorial authority,Financial Service Provider,Location
Albury School #3273,Nexia New Zealand,Sam Naylor,Primary - State,Canterbury Region,Mackenzie District,Schooled - Christchurch,"-44.230478, 170.87061"
Arowhenua Maori School #3280,Nexia New Zealand,Sam Naylor,Primary - State,Canterbury Region,Timaru District,Schooled - Christchurch,"-44.255105, 171.270848"
Cannington School #3307,Nexia New Zealand,Sam Naylor,Primary - State,Canterbury Region,Mackenzie District,Solutions and Services,"-44.357499, 170.93677"
Carew Peel Forest School #3308,Nexia New Zealand,Sam Naylor,Primary - State,Canterbury Region,Ashburton District,On Point Accounting,"-43.960073, 171.356948"
Casebrook Intermediate #3309,Nexia New Zealand,Sam Naylor,Intermediate/Restricted Composite - State,Canterbury Region,Christchurch City,Geoff Gillam,"-43.481806, 172.603796"
Christchurch East School #3317,Nexia New Zealand,Sam Naylor,Primary - State,Canterbury Region,Christchurch City,Solutions and Services,"-43.529647, 172.648358"
Darfield School #3326,Nexia New Zealand,Sam Naylor,Primary - State,Canterbury Region,Selwyn District,Geoff Gillam,"-43.490411, 172.106323"
Elmwood Normal School #3334,Nexia New Zealand,Sam Naylor,Primary - State,Canterbury Region,Christchurch City,Schooled - Christchurch,"-43.513814, 172.614755"
Fairlie School #3335,Nexia New Zealand,Sam Naylor,Primary - State,Canterbury Region,Mackenzie District,Schooled - Christchurch,"-44.100613, 170.826014"
Gleniti School #3347,Nexia New Zealand,Sam Naylor,Primary - State,Canterbury Region,Timaru District,Solutions and Services,"-44.382757, 171.193234"
Highfield School #3373,Nexia New Zealand,Sam Naylor,Primary - State,Canterbury Region,Timaru District,Schooled - Christchurch,"-44.390404, 171.213466"
Lake Tekapo School #3406,Nexia New Zealand,Sam Naylor,Primary - State,Canterbury Region,Mackenzie District,Schooled - Christchurch,"-44.005064, 170.4748"
Loburn School #3419,Nexia New Zealand,Sam Naylor,Primary - State,Canterbury Region,Waimakariri District,Maggie Turnhout,"-43.250122, 172.530073"
Mayfield School (Mid-Canterbury) #3432,Nexia New Zealand,Sam Naylor,Primary - State,Canterbury Region,Ashburton District,On Point Accounting,"-43.823442, 171.421329"
Methven School #3436,Nexia New Zealand,Sam Naylor,Primary - State,Canterbury Region,Ashburton District,Solutions and Services,"-43.636575, 171.650119"
Mount Somers Springburn School #3441,Nexia New Zealand,Sam Naylor,Primary - State,Canterbury Region,Ashburton District,Solutions and Services,"-43.704789, 171.402382"
Aoraki Mount Cook School #3442,Nexia New Zealand,Sam Naylor,Primary - State,Canterbury Region,Mackenzie District,Solutions and Services,"-43.738181, 170.099856"
Ouruhia Model School #3464,Nexia New Zealand,Sam Naylor,Primary - State,Canterbury Region,Christchurch City,Solutions and Services,"-43.444597, 172.660388"
Parkview School #3470,Nexia New Zealand,Sam Naylor,Primary - State,Canterbury Region,Christchurch City,Geoff Gillam,"-43.4806, 172.705631"
Pleasant Point Primary School #3477,Nexia New Zealand,Sam Naylor,Primary - State,Canterbury Region,Timaru District,Accounting For Schools,"-44.257427, 171.132171"
Rakaia School #3480,Nexia New Zealand,Sam Naylor,Primary - State,Canterbury Region,Ashburton District,Solutions and Services,"-43.751468, 172.022787"
Rolleston School #3488,Nexia New Zealand,Sam Naylor,Primary - State,Canterbury Region,Selwyn District,Geoff Gillam,"-43.592491, 172.381339"
Sacred Heart School (Timaru) #3498,Nexia New Zealand,Sam Naylor,Primary - State : Integrated,Canterbury Region,Timaru District,Solutions and Services,"-44.401811, 171.248548"
Shirley Intermediate #3503,Nexia New Zealand,Sam Naylor,Intermediate/Restricted Composite - State,Canterbury Region,Christchurch City,Solutions and Services,"-43.508313, 172.661644"
Spreydon School #3512,Nexia New Zealand,Sam Naylor,Primary - State,Canterbury Region,Christchurch City,Solutions and Services,"-43.557575, 172.597927"
Saint Joseph's School (Pleasant Point) #3528,Nexia New Zealand,Sam Naylor,Primary - State : Integrated,Canterbury Region,Timaru District,On Point Accounting,"-44.26184, 171.131708"
Saint Joseph's School (Fairlie) #3529,Nexia New Zealand,Sam Naylor,Primary - State : Integrated,Canterbury Region,Mackenzie District,Solutions and Services,"-44.10421, 170.827614"
Saint Joseph's School (Temuka) #3532,Nexia New Zealand,Sam Naylor,Primary - State : Integrated,Canterbury Region,Timaru District,Solutions and Services,"-44.244131, 171.284601"
Saint Joseph's School (Timaru) #3533,Nexia New Zealand,Sam Naylor,Primary - State : Integrated,Canterbury Region,Timaru District,Solutions and Services,"-44.378511, 171.225105"
Tai Tapu School #3549,Nexia New Zealand,Sam Naylor,Primary - State,Canterbury Region,Selwyn District,Solutions and Services,"-43.662761, 172.550407"
Tinwald School #3561,Nexia New Zealand,Sam Naylor,Primary - State,Canterbury Region,Ashburton District,Schooled - Christchurch,"-43.923887, 171.719067"
View Hill School #3565,Nexia New Zealand,Sam Naylor,Primary - State,Canterbury Region,Waimakariri District,Solutions and Services,"-43.299033, 172.071832"
Waimataitai School #3572,Nexia New Zealand,Sam Naylor,Primary - State,Canterbury Region,Timaru District,Schooled - Christchurch,"-44.388036, 171.238242"
Wakanui School #3580,Nexia New Zealand,Sam Naylor,Primary - State,Canterbury Region,Ashburton District,Solutions and Services,"-43.973865, 171.822857"
Longbeach School #3594,Nexia New Zealand,Sam Naylor,Primary - State,Canterbury Region,Ashburton District,Schooled - Christchurch,"-43.979123, 171.683118"
Woodbury School #3599,Nexia New Zealand,Sam Naylor,Primary - State,Canterbury Region,Timaru District,Schooled - Christchurch,"-44.034925, 171.206998"
Collingwood Area School #290,Silks Audit Chartered Accountants Limited,Sarah Jenkins,Composite - State,Tasman Region,Tasman District,Solutions and Services,"-40.682214, 172.680023"
Leigh School #1340,Silks Audit Chartered Accountants Limited,Sarah Jenkins,Primary - State,Auckland Region,Auckland - Rodney,Education Services,"-36.291113, 174.803596"
Matakana School #1364,Silks Audit Chartered Accountants Limited,Sarah Jenkins,Primary - State,Auckland Region,Auckland - Rodney,School Finance Hub,"-36.355014, 174.715127"
Saint  Matthews Primary School #1608,Silks Audit Chartered Accountants Limited,Sarah Jenkins,Primary - State : Integrated,Hawke's Bay Region,Hastings District,Anglican Diocese of Waiapu,"-39.641202, 176.840089"
Pekerau School #1893,Silks Audit Chartered Accountants Limited,Sarah Jenkins,Primary - State,Waikato Region,Waipa District,Education Services,"-38.003416, 175.338746"
Wharepapa South School #2086,Silks Audit Chartered Accountants Limited,Sarah Jenkins,Primary - State,Waikato Region,Waipa District,Accounting For Schools,"-38.142835, 175.534875"
Matapu School #2098,Silks Audit Chartered Accountants Limited,Sarah Jenkins,Primary - State,Taranaki Region,South Taranaki District,Education Services,"-39.478529, 174.226633"
Devon Intermediate #2161,Silks Audit Chartered Accountants Limited,Sarah Jenkins,Intermediate/Restricted Composite - State,Taranaki Region,New Plymouth District,Education Services,"-39.063582, 174.05411"
Saint Joseph's School (Opunake) #2237,Silks Audit Chartered Accountants Limited,Sarah Jenkins,Primary - State : Integrated,Taranaki Region,South Taranaki District,Education Services,"-39.449516, 173.859688"
Saint Patrick's School (Kaponga) #2240,Silks Audit Chartered Accountants Limited,Sarah Jenkins,Primary - State : Integrated,Taranaki Region,South Taranaki District,Education Services,"-39.429392, 174.151078"
Tokirima School #2253,Silks Audit Chartered Accountants Limited,Sarah Jenkins,Primary - State,Manawatu-Wanganui Region,Ruapehu District,Education Finance,"-38.939053, 175.012311"
Waitara Central School #2260,Silks Audit Chartered Accountants Limited,Sarah Jenkins,Primary - State,Taranaki Region,New Plymouth District,Education Services,"-39.004424, 174.233298"
Saint Mary's School (Wanganui) #2454,Silks Audit Chartered Accountants Limited,Sarah Jenkins,Primary - State : Integrated,Manawatu-Wanganui Region,Whanganui District,In-House provision,"-39.912234, 175.04975"
Saint Matthew's School (Marton) #2456,Silks Audit Chartered Accountants Limited,Sarah Jenkins,Primary - State : Integrated,Manawatu-Wanganui Region,Rangitikei District,Education Services,"-40.074857, 175.376604"
Ruahine School #2669,Silks Audit Chartered Accountants Limited,Sarah Jenkins,Primary - State,Manawatu-Wanganui Region,Tararua District,Education Services,"-40.23409, 176.003221"
Birchwood School #3182,Silks Audit Chartered Accountants Limited,Sarah Jenkins,Primary - State,Nelson Region,Nelson City,Accounting For Schools,"-41.306739, 173.224448"
Enner Glynn School #3189,Silks Audit Chartered Accountants Limited,Sarah Jenkins,Primary - State,Nelson Region,Nelson City,Accounting For Schools,"-41.30557, 173.253976"
Hampden Street School #3193,Silks Audit Chartered Accountants Limited,Sarah Jenkins,Primary - State,Nelson Region,Nelson City,In-House provision,"-41.284804, 173.277316"
Hope School #3196,Silks Audit Chartered Accountants Limited,Sarah Jenkins,Primary - State,Tasman Region,Tasman District,In-House provision,"-41.369201, 173.145106"
Richmond School (Nelson) #3216,Silks Audit Chartered Accountants Limited,Sarah Jenkins,Primary - State,Tasman Region,Tasman District,In-House provision,"-41.33948, 173.182011"
Broadwood Area School #6,Bennett & Associates,Stephen Bennett,Composite - State,Northland Region,Far North District,Education Services,"-35.261248, 173.39499"
Te Kura Taumata O Panguru #10,Bennett & Associates,Stephen Bennett,Composite - State,Northland Region,Far North District,Edtech,"-35.380527, 173.383068"
Opononi Area School #11,Bennett & Associates,Stephen Bennett,Composite - State,Northland Region,Far North District,Education Services,"-35.528555, 173.390212"
Tikipunga High School #14,Bennett & Associates,Stephen Bennett,Secondary - State,Northland Region,Whangarei District,Schooled - Auckland East,"-35.683559, 174.328317"
Pompallier Catholic College #17,Bennett & Associates,Stephen Bennett,Secondary - State : Integrated,Northland Region,Whangarei District,The School Office,"-35.744864, 174.275713"
Mangakahia Area School #18,Bennett & Associates,Stephen Bennett,Composite - State,Northland Region,Whangarei District,Education Services,"-35.732278, 174.058779"
Dargaville High School #19,Bennett & Associates,Stephen Bennett,Secondary - State,Northland Region,Kaipara District,The School Office,"-35.931691, 173.868056"
Te Kura Kaupapa Maori o Ngaringaomatariki #600,Bennett & Associates,Stephen Bennett,Primary - State - Kura/character,Northland Region,Kaipara District,Education Services,"-36.272816, 174.409953"
Te Kura ā Iwi o Pawarenga #932,Bennett & Associates,Stephen Bennett,Primary - State - Kura/character,Northland Region,Far North District,Education Services,"-35.337097, 173.289595"
Arapohue School #1002,Bennett & Associates,Stephen Bennett,Primary - State,Northland Region,Kaipara District,Education Services,"-36.007772, 173.94475"
Dargaville Intermediate #1008,Bennett & Associates,Stephen Bennett,Intermediate/Restricted Composite - State,Northland Region,Kaipara District,Education Services,"-35.933508, 173.865467"
Hikurangi School #1014,Bennett & Associates,Stephen Bennett,Primary - State,Northland Region,Whangarei District,Education Services,"-35.596131, 174.287271"
Horeke School #1016,Bennett & Associates,Stephen Bennett,Primary - State,Northland Region,Far North District,Education Services,"-35.360102, 173.579691"
Kaihu Valley School #1020,Bennett & Associates,Stephen Bennett,Primary - State,Northland Region,Kaipara District,Education Services,"-35.799333, 173.738754"
Kaikohe East School #1021,Bennett & Associates,Stephen Bennett,Primary - State,Northland Region,Far North District,Education Services,"-35.409332, 173.806387"
Kaikohe Intermediate #1022,Bennett & Associates,Stephen Bennett,Intermediate/Restricted Composite - State,Northland Region,Far North District,Education Services,"-35.406625, 173.79698"
Kaiwaka School #1027,Bennett & Associates,Stephen Bennett,Primary - State,Northland Region,Kaipara District,Education Services,"-36.160034, 174.446412"
Kamo School #1030,Bennett & Associates,Stephen Bennett,Primary - State,Northland Region,Whangarei District,Education Services,"-35.68369, 174.297331"
Karetu School #1031,Bennett & Associates,Stephen Bennett,Primary - State,Northland Region,Far North District,Education Services,"-35.373793, 174.152407"
Kaurihohore School #1032,Bennett & Associates,Stephen Bennett,Primary - State,Northland Region,Whangarei District,Education Services,"-35.643104, 174.289052"
Kawakawa Primary School #1033,Bennett & Associates,Stephen Bennett,Primary - State,Northland Region,Far North District,Education Services,"-35.383222, 174.066193"
Kohukohu School #1035,Bennett & Associates,Stephen Bennett,Primary - State,Northland Region,Far North District,Education Services,"-35.359777, 173.544154"
Mangawhai Beach School #1038,Bennett & Associates,Stephen Bennett,Primary - State,Northland Region,Kaipara District,Ask Accounting,"-36.128844, 174.57708"
Matihetihe School #1046,Bennett & Associates,Stephen Bennett,Primary - State - Kura/character,Northland Region,Far North District,Education Services,"-35.436425, 173.283651"
Maungakaramea School #1047,Bennett & Associates,Stephen Bennett,Primary - State,Northland Region,Whangarei District,Education Services,"-35.844115, 174.202609"
Maungatapere School #1048,Bennett & Associates,Stephen Bennett,Primary - State,Northland Region,Whangarei District,Education Services,"-35.755372, 174.205703"
Maungaturoto School #1049,Bennett & Associates,Stephen Bennett,Primary - State,Northland Region,Kaipara District,Education Services,"-36.109601, 174.352788"
Motatau School #1053,Bennett & Associates,Stephen Bennett,Primary - State,Northland Region,Far North District,Education Services,"-35.495902, 174.034799"
Te Kura o Ōmanaia #1060,Bennett & Associates,Stephen Bennett,Primary - State - Kura/character,Northland Region,Far North District,Education Services,"-35.456578, 173.524334"
Onerahi School #1062,Bennett & Associates,Stephen Bennett,Primary - State,Northland Region,Whangarei District,The School Office,"-35.758065, 174.367387"
Te Kura o Otangarei #1069,Bennett & Associates,Stephen Bennett,Primary - State,Northland Region,Whangarei District,Education Services,"-35.695145, 174.320624"
Paparoa School #1077,Bennett & Associates,Stephen Bennett,Primary - State,Northland Region,Kaipara District,Education Services,"-36.099534, 174.233448"
Parua Bay School #1080,Bennett & Associates,Stephen Bennett,Primary - State,Northland Region,Whangarei District,Education Services,"-35.769841, 174.479467"
Poroti School #1083,Bennett & Associates,Stephen Bennett,Primary - State,Northland Region,Whangarei District,Education Services,"-35.739143, 174.139016"
Pouto School #1085,Bennett & Associates,Stephen Bennett,Primary - State,Northland Region,Kaipara District,Education Services,"-36.28565, 174.101868"
Purua School #1089,Bennett & Associates,Stephen Bennett,Primary - State,Northland Region,Whangarei District,Education Services,"-35.632312, 174.108323"
Raurimu Avenue School #1092,Bennett & Associates,Stephen Bennett,Primary - State,Northland Region,Whangarei District,Education Services,"-35.763896, 174.362661"
Rawene School #1093,Bennett & Associates,Stephen Bennett,Primary - State,Northland Region,Far North District,Education Services,"-35.403696, 173.506254"
Ruawai Primary School #1095,Bennett & Associates,Stephen Bennett,Primary - State,Northland Region,Kaipara District,Education Services,"-36.121583, 174.011042"
